kepid,tm_designation,teff,teff_err1,teff_err2,logg,logg_err1,logg_err2,feh,feh_err1,feh_err2,mass,mass_err1,mass_err2,radius,radius_err1,radius_err2,dens,dens_err1,dens_err2,prov_sec,kepmag,nconfp,nkoi,ntce,datalink_dvr,st_delivname,st_vet_date_str,ra,ra_str,dec,dec_str,st_quarters,teff_prov,logg_prov,feh_prov,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,dutycycle,dataspan,mesthres01p5,mesthres02p0,mesthres02p5,mesthres03p0,mesthres03p5,mesthres04p5,mesthres05p0,mesthres06p0,mesthres07p5,mesthres09p0,mesthres10p5,mesthres12p0,mesthres12p5,mesthres15p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,tycho2_match_id,tycho2_match_dist_deg,tycho2_match_btmag,tycho2_match_ra,tycho2_match_dec,pmra,pmdec,parallax
10023062,2MASS J19445492+4657487,6535,156.0,-255.0,4.348,0.061,-0.388,0.21,0.15,-0.41,1.34,0.24,-0.26,1.283,0.872,-0.184,0.8932,0.2881,-0.6753,DSEP,11.055,0,0,0,,q1_q17_dr24_stellar,2015-01-15,296.22888,19h44m54.93s,46.963531,+46d57m48.7s,11111101110111011,PHO1,KIC0,KIC0,10.143,0.021,9.94,0.018000000000000002,9.908,0.014,0.6992,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,90.154,101.912,115.711,127.508,142.683,164.75,171.144,182.43,197.081,203.167,203.143,201.866,201.428,197.76,3561-306-1,1.7663006536443448e-05,11.604,296.22886567090205,46.9635457153876,3.4852685909412413,2.32634961276368,2.815148798897539
10027112,2MASS J19494686+4654457,6756,232.0,-339.0,3.674,0.348,-0.11,-0.06,0.26,-0.3,1.78,0.22,-0.5,3.221,0.659,-1.371,0.07526000000000001,0.217,-0.02667,DSEP,11.569,0,0,0,,q1_q17_dr24_stellar,2015-01-15,297.44528,19h49m46.87s,46.912689,+46d54m45.7s,11111101110111011,PHO1,KIC0,KIC0,10.292,0.02,10.068,0.018000000000000002,10.035,0.015,0.6988,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,79.757,79.226,82.074,83.068,85.824,89.037,90.549,94.573,101.466,106.881,112.222,118.091,120.342,132.154,3561-825-1,2.359877309145089e-05,11.853,297.4452534773364,46.91270414415761,-3.58557358192111,1.0955251540303363,1.0942245846941498
10031808,2MASS J19551141+4655488,6331,199.0,-231.0,3.813,0.439,-0.172,-0.56,0.32,-0.3,1.14,0.26,-0.25,2.194,0.6609999999999999,-1.018,0.1523,0.6286,-0.07231,DSEP,9.557,0,1,2,010/010031/010031808/dv/kplr010031808-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,298.79758,19h55m11.42s,46.930244,+46d55m48.9s,11111101110111011,PHO54,PHO54,PHO54,8.603,0.024,8.452,0.049,8.355,0.022,0.6836,1459.605,7.134,7.102,10.217,11.499,14.119000000000002,22.643,18.308,17.694000000000006,18.995,19.931,24.769,32.388000000000005,42.363,71.87899999999998,94.38,105.799,121.517,136.122,154.189,181.799,190.93,209.974,239.785,260.741,274.262,287.764,292.836,325.992,3562-2374-1,1.3281600966983096e-05,10.093,298.7975892696798,46.93025569406766,2.93852796952165,3.3187106050191453,1.999592993717073
10031856,2MASS J19551455+4655196,4452,78.0,-78.0,2.201,0.011,-0.013,0.22,0.05,-0.05,1.58,0.18,-0.18,16.47,0.77,-0.78,0.000493,1.409e-05,-1.409e-05,MULT55,11.644,0,0,0,,q1_q17_dr24_stellar,2015-01-15,298.81061,19h55m14.55s,46.922131,+46d55m19.7s,11111101110111011,PHO55,AST55,SPE55,9.538,0.025,8.894,0.033,8.693999999999999,0.018000000000000002,0.6992,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,89.61,98.661,112.305,124.843,140.798,162.458,168.80599999999995,181.318,203.603,219.895,230.139,240.918,245.373,273.217,3562-2408-1,2.086074962946319e-05,13.795,298.81064005618464,46.92212719411464,-1.8177084493193993,-3.3323991639513144,1.066962216233767
10087522,2MASS J19453440+4701491,5172,176.0,-244.0,2.693,0.037000000000000005,-0.024,0.07,0.14,-0.65,3.26,0.05,-1.98,13.454,0.299,-5.131,0.001884,0.001281,-0.0001238,DSEP,10.292,0,0,0,,q1_q17_dr24_stellar,2015-01-15,296.39337,19h45m34.41s,47.030319,+47d01m49.1s,11111101110111011,PHO1,AST9,KIC0,8.742,0.02,8.286,0.022,8.199,0.014,0.6992,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,96.082,109.973,120.941,127.678,137.273,150.296,153.661,159.067,163.679,163.987,162.384,160.835,160.444,155.966,3561-1165-1,2.6008585494473243e-05,11.743,296.3933390189987,47.0303038009488,3.3759430853115644,0.581021328369483,0.3001850045450669
10097040,2MASS J19562941+4702383,6299,142.0,-208.0,4.401,0.056,-0.383,0.21,0.15,-0.39,1.25,0.25,-0.22,1.167,0.802,-0.134,1.107,0.3109,-0.8308,DSEP,11.041,0,0,0,,q1_q17_dr24_stellar,2015-01-15,299.12256,19h56m29.41s,47.043991,+47d02m38.4s,11111101110111011,PHO1,KIC0,KIC0,10.091,0.029,9.815,0.031,9.728,0.02,0.6989,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,36.117,32.785,31.459,29.8,28.936,27.326,26.857,26.27,25.786,25.662,25.973000000000006,26.382,26.694000000000006,27.938,3562-1942-1,1.1486349657968266e-05,11.834,299.12256574862124,47.04400180714901,-5.7997288018282545,0.5434331725901087,3.8781969472009497
10135362,2MASS J19182888+4710316,6573,182.0,-255.0,4.186,0.17,-0.307,-0.2,0.24,-0.3,1.24,0.28,-0.21,1.485,0.8290000000000001,-0.349,0.5332,0.4868,-0.3644,DSEP,10.804,0,0,3,010/010135/010135362/dv/kplr010135362-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,289.62039,19h18m28.89s,47.175449,+47d10m31.6s,11111111111111111,PHO54,PHO54,PHO54,10.189,0.021,10.046,0.019,9.975,0.011,0.8755,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,76.878,69.844,67.543,64.60600000000001,62.96,59.305,58.073,56.04,53.768,52.125,50.797,49.462,49.232,48.197,3546-343-1,1.6154155476968805e-05,11.470999999999998,289.62040982895525,47.17545793221872,6.672059500292107,2.1704439781968,1.2140665044985497
10146348,2MASS J19352227+4710381,4899,93.0,-93.0,2.745,0.017,-0.016,0.11,0.05,-0.05,2.2,0.34,-0.26,10.42,0.58,-0.48,0.002733,8.451e-05,-7.043e-05,MULT55,9.429,0,0,0,,q1_q17_dr24_stellar,2015-01-15,293.8427700000001,19h35m22.26s,47.177261,+47d10m38.1s,11111111111111111,PHO55,AST55,SPE55,7.87,0.023,7.3610000000000015,0.017,7.2360000000000015,0.02,0.8756,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,112.604,127.432,139.261,146.22299999999996,156.893,171.977,176.456,184.18,191.126,192.546,191.937,190.627,190.387,187.735,3560-599-1,1.1486349657968266e-05,11.039,293.84278689268865,47.17726096549834,1.3067690751015693,-10.231476873204713,1.9275660652287163
10148118,2MASS J19375110+4709246,5172,170.0,-281.0,2.693,0.036000000000000004,-0.025,0.07,0.14,-0.59,3.26,0.05,-1.94,13.454,0.301,-4.999,0.001884,0.001225,-0.00012670000000000002,DSEP,10.765999999999998,0,0,0,,q1_q17_dr24_stellar,2015-01-15,294.46292,19h37m51.10s,47.15686,+47d09m24.7s,11111111111111111,PHO1,AST9,KIC0,9.226,0.024,8.73,0.016,8.602,0.015,0.8756,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,112.58,127.323,140.417,148.79399999999995,160.703,177.834,182.952,191.826,202.165,206.925,209.507,212.131,213.181,219.041,3560-2712-1,1.4787793334711022e-05,12.757,294.46291954074314,47.156845224593496,1.5239031667342415,3.163691220334922,0.6688510747963535
10149694,2MASS J19395865+4711009,6573,150.0,-205.0,4.047,0.221,-0.27,-0.12,0.24,-0.3,1.37,0.26,-0.3,1.835,0.8590000000000001,-0.556,0.3131,0.4265,-0.1987,DSEP,11.488,0,0,0,,q1_q17_dr24_stellar,2015-01-15,294.99438,19h39m58.65s,47.18359,+47d11m00.9s,11111111111111111,PHO1,KIC0,KIC0,10.635,0.024,10.418,0.018000000000000002,10.375,0.017,0.8752,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,52.834,50.168,50.343,49.302,49.404,49.332,49.475,50.511,52.476000000000006,54.456,56.82,59.19,60.191,66.055,3560-2856-1,2.141253411327648e-05,11.986,294.9944072186398,47.1836007398209,-3.9664215051663714,-1.6347033030571252,2.120185883690732
10081748,2MASS J19373903+4701532,6845,161.0,-244.0,4.2010000000000005,0.08900000000000001,-0.421,0.26,0.14,-0.4,1.5,0.32,-0.22,1.612,1.199,-0.238,0.5058,0.2187,-0.395,DSEP,11.8,0,0,3,010/010081/010081748/dv/kplr010081748-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,294.41266,19h37m39.04s,47.031471,+47d01m53.3s,11111111111111111,PHO1,KIC0,KIC0,10.919,0.024,10.738,0.016,10.682,0.016,0.8755,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,58.515,53.217,52.462,50.71,49.413,47.168,46.15,44.931,42.972,41.144,39.944,38.962,38.925,38.432,3560-2671-1,2.744055594411071e-05,12.102,294.412661865074,47.03144359722979,-1.1028741890654143,-5.255155365042594,1.2974655395698302
10087801,2MASS J19455697+4705506,7725,232.0,-299.0,4.189,0.064,-0.416,0.07,0.14,-0.39,1.68,0.34,-0.19,1.725,1.257,-0.18600000000000005,0.4603,0.1347,-0.3573,DSEP,11.994000000000002,0,0,2,010/010087/010087801/dv/kplr010087801-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,296.48743,19h45m56.98s,47.097397,+47d05m50.6s,11111101110111011,PHO54,PHO54,PHO54,11.622,0.023,11.519,0.024,11.483,0.019,0.6988,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,54.12600000000001,49.565,48.231,46.01,44.893,42.744,41.78,40.436,38.6,36.714,35.402,34.414,34.114000000000004,31.847,3561-1271-1,4.353408482428142e-06,12.422,296.48742377598626,47.0973980993325,0.0810798057682246,1.0983891759902162,1.0194660486687972
10122776,2MASS J18535387+4710524,6701,176.0,-275.0,4.0360000000000005,0.238,-0.252,-0.22,0.24,-0.3,1.37,0.25,-0.31,1.854,0.809,-0.594,0.3018,0.4587,-0.184,DSEP,12.526,0,0,0,,q1_q17_dr24_stellar,2015-01-15,283.47449,18h53m53.88s,47.181217,+47d10m52.4s,11111111111111111,PHO54,PHO54,PHO54,11.077,0.02,10.897,0.018000000000000002,10.882,0.017,0.8752,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,43.617,39.806,38.692,36.847,35.964,34.12,33.42,32.629,32.422,32.642,33.267,34.083,34.457,36.792,3544-906-1,1.823161606110081e-05,12.304,283.4744990223933,47.181234176188966,-2.689785053408084,4.551905695972564,1.424267205699314
10017419,2MASS J19364989+4658010,6077,142.0,-192.0,4.444,0.041,-0.306,0.21,0.15,-0.31,1.17,0.22,-0.16,1.072,0.525,-0.095,1.334,0.2723,-0.8842,DSEP,12.134,0,0,0,,q1_q17_dr24_stellar,2015-01-15,294.20789,19h36m49.89s,46.966961,+46d58m01.1s,11111111111111111,PHO1,KIC0,KIC0,11.058,0.021,10.792,0.017,10.736,0.014,0.875,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,65.275,64.58,67.267,68.607,71.123,74.975,76.515,81.178,89.163,95.945,102.224,109.61,112.289,129.47899999999998,3560-2522-1,2.5613209387548028e-05,12.954,294.20790373202976,46.966984852160046,2.396564331343855,3.2642976850898053,2.731236049070332
10088162,2MASS J19462442+4703233,3826,81.0,-111.0,0.934,0.03,-0.029,-0.1,0.18,-0.26,1.81,1.46,-0.78,76.033,23.692,-18.522,5.804e-06,1.982e-06,-6.460999999999999e-07,DSEP,11.121,0,0,2,010/010088/010088162/dv/kplr010088162-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,296.60172,19h46m24.41s,47.056438,+47d03m23.2s,11111101110111011,PHO54,AST54,PHO54,7.949,0.019,7.127000000000002,0.024,6.8679999999999986,0.022,0.698,1459.789,7.1,7.1,7.1,7.1,7.686,7.104,7.103,7.66,7.1,7.1,7.1,7.1,7.1,7.105,28.684,27.204,27.406,27.248,27.846,29.068,29.788,31.511,34.563,36.929,39.34,42.107,43.275,49.81100000000001,3561-522-1,1.413246851386007e-05,13.559,296.6017055387094,47.05642788486245,-3.9982477149010216,-1.5848745346110844,-0.09856600602943988
10098590,2MASS J19582475+4702123,4429,161.0,-161.0,2.402,0.009000000000000001,-0.011,0.48,0.04,-0.04,0.99,0.14,-0.14,10.42,0.65,-0.63,0.001239,5.634e-05,-7.043e-05,MULT55,10.131,0,0,0,,q1_q17_dr24_stellar,2015-01-15,299.60315,19h58m24.76s,47.036751,+47d02m12.3s,11111101110111011,PHO55,AST55,SPE55,8.257,0.061,7.6110000000000015,0.036000000000000004,7.456,0.022,0.6992,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,87.57700000000001,102.702,116.599,127.514,143.023,169.817,179.592,197.96,222.127,237.379,246.832,256.527,260.714,289.754,3562-2129-1,2.1086653546985296e-05,12.251,299.60317898283995,47.03674356539938,0.4319607132917533,-6.247487815351738,1.8251244443154533
10092506,2MASS J19512298+4704204,6767,194.0,-332.0,4.221,0.099,-0.397,0.36,0.1,-0.4,1.51,0.28,-0.24,1.5759999999999998,1.065,-0.274,0.542,0.289,-0.4114,DSEP,11.21,0,0,0,,q1_q17_dr24_stellar,2015-01-15,297.84576,19h51m22.98s,47.072338,+47d04m20.4s,11111101110111011,PHO1,KIC0,KIC0,10.246,0.021,10.056,0.017,10.024,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3561-936-1,1.1262047877356564e-05,11.573,297.8457660569362,47.0723275680265,-0.1794856130104326,1.0664940459145709,1.2898289222332058
10118422,2MASS J18430594+4708391,5039,113.0,-222.0,2.567,0.031,-0.029,0.07,0.14,-0.65,3.17,0.08,-2.15,15.332,0.57,-6.67,0.0012369999999999998,0.0009686,-0.000101,DSEP,11.592,0,0,0,,q1_q17_dr24_stellar,2015-01-15,280.77478,18h43m05.95s,47.144199,+47d08m39.1s,11111111111111111,PHO1,AST11,KIC0,10.029,0.02,9.55,0.018000000000000002,9.445,0.011,0.8756,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,132.513,148.827,166.935,180.676,197.646,218.568,223.412,231.469,242.453,247.415,249.419,251.292,251.882,252.229,3531-1176-1,8.321556147031972e-06,12.923,280.7747726048058,47.14419234385075,-6.174379488331598,-5.117055333130138,0.7825692777777613
10018778,2MASS J19384341+4656111,6440,165.0,-228.0,4.343,0.07200000000000001,-0.397,0.12,0.2,-0.38,1.27,0.28,-0.22,1.255,0.906,-0.179,0.9021,0.3297,-0.6914,DSEP,11.659,0,0,0,,q1_q17_dr24_stellar,2015-01-15,294.68091,19h38m43.42s,46.93642,+46d56m11.1s,11111111111111111,PHO1,KIC0,KIC0,10.685,0.021,10.465,0.021,10.405,0.015,0.8754,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,52.367,48.755,47.929,46.239,45.661,44.79600000000001,44.449,44.567,45.13,45.971,47.25899999999999,48.898,49.594,53.617,3560-2889-1,2.0614700166548044e-05,12.312,294.68093976666063,46.93641646776412,1.5681082762157457,-1.6744450137237794,1.855409593136421
